Date,Channel,Campaign Name,Campaign Type,Region,Device,Impressions,Clicks,Conversions,Cost,Revenue
2025-11-06,YouTube,YouTube - Retargeting - No,Retargeting,North America,Tablet,1070,6,0,2.49,0.0
2025-01-30,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Desktop,581,14,0,23.73,0.0
2025-03-16,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Desktop,1616,21,1,34.91,113.95
2025-05-19,LinkedIn,LinkedIn - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1131,8,0,38.21,0.0
2025-08-08,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,2094,32,0,56.17,0.0
2025-02-09,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Tablet,1419,17,0,26.06,0.0
2025-12-17,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Desktop,1569,29,0,66.57,0.0
2025-09-11,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,1913,23,0,25.87,0.0
2025-05-11,Email,Email - Conversion - No,Conversion,North America,Mobile,683,21,0,5.73,0.0
2025-02-25,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Mobile,1943,25,0,4.99,0.0
2025-12-09,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,971,14,0,29.18,0.0
2025-10-17,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,2597,32,0,60.66,0.0
2025-02-10,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Desktop,1568,17,0,17.8,0.0
2025-12-03,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,748,5,0,9.51,0.0
2025-06-27,Facebook,Facebook - Conversion - No,Conversion,North America,Desktop,316,5,0,5.32,0.0
2025-05-06,Instagram,Instagram - Conversion - LA,Conversion,LATAM,Desktop,1177,13,0,13.93,0.0
2025-04-22,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Desktop,668,5,0,3.86,0.0
2025-08-15,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Mobile,2291,49,2,99.49,415.58
2025-06-22,YouTube,YouTube - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,869,4,0,0.52,0.0
2025-08-31,LinkedIn,LinkedIn - Lead Generation - No,Lead Generation,North America,Desktop,1002,7,0,31.88,0.0
2025-07-20,Facebook,Facebook - Retargeting - LA,Retargeting,LATAM,Desktop,2000,25,1,19.56,129.98
2025-07-26,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Desktop,2535,22,0,21.87,0.0
2025-01-21,Instagram,Instagram - Conversion - No,Conversion,North America,Mobile,1171,10,0,18.02,0.0
2025-04-23,LinkedIn,LinkedIn - Lead Generation - Eu,Lead Generation,Europe,Tablet,1248,8,0,41.82,0.0
2025-06-25,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Mobile,1451,42,2,64.72,296.04
2025-08-28,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,2734,37,0,103.34,0.0
2025-07-03,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Mobile,494,10,0,22.91,0.0
2025-04-29,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,1899,19,0,35.09,0.0
2025-03-27,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,1639,27,1,17.93,163.15
2025-09-19,YouTube,YouTube - Retargeting - LA,Retargeting,LATAM,Mobile,977,4,0,-0.54,0.0
2025-12-01,Instagram,Instagram - Conversion - As,Conversion,Asia Pacific,Mobile,783,10,0,17.26,0.0
2025-08-20,Google Ads,Google Ads - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,3074,59,1,97.37,162.94
2025-12-07,YouTube,YouTube - Conversion - No,Conversion,North America,Desktop,893,5,0,2.82,0.0
2025-11-26,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,1160,38,0,46.17,0.0
2025-11-26,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Desktop,2654,65,1,123.35,118.3
2025-05-18,LinkedIn,LinkedIn - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,1259,6,0,23.62,0.0
2025-04-01,YouTube,YouTube - Conversion - Eu,Conversion,Europe,Mobile,1611,8,0,4.81,0.0
2025-02-23,Facebook,Facebook - Retargeting - LA,Retargeting,LATAM,Mobile,1928,28,1,45.85,133.79
2025-06-25,Instagram,Instagram - Conversion - As,Conversion,Asia Pacific,Mobile,1254,16,0,23.79,0.0
2025-06-19,LinkedIn,LinkedIn - Retargeting - LA,Retargeting,LATAM,Tablet,957,6,0,22.78,0.0
2025-09-25,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,1303,46,0,80.83,0.0
2025-03-16,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Desktop,1836,26,0,80.05,0.0
2025-10-19,Instagram,Instagram - Retargeting - As,Retargeting,Asia Pacific,Tablet,1420,16,0,16.83,0.0
2025-07-30,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Desktop,1211,16,0,5.3,0.0
2025-04-18,Google Ads,Google Ads - Conversion - No,Conversion,North America,Desktop,1119,27,0,54.63,0.0
2025-07-02,Email,Email - Lead Generation - LA,Lead Generation,LATAM,Desktop,1008,26,0,-3.87,0.0
2025-03-12,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Desktop,341,11,0,20.42,0.0
2025-04-23,Instagram,Instagram - Retargeting - No,Retargeting,North America,Mobile,1369,21,0,21.59,0.0
2025-07-09,LinkedIn,LinkedIn - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,952,8,0,34.58,0.0
2025-04-01,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Mobile,2854,66,1,161.76,138.56
2025-04-19,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,2715,38,2,54.14,331.24
2025-06-17,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Desktop,692,7,0,5.9,0.0
2025-08-05,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,1247,20,0,10.74,0.0
2025-09-28,Email,Email - Brand Awareness - No,Brand Awareness,North America,Mobile,1379,45,0,13.07,0.0
2025-01-12,Instagram,Instagram - Conversion - As,Conversion,Asia Pacific,Desktop,1071,14,0,20.39,0.0
2025-07-21,LinkedIn,LinkedIn - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,945,7,0,35.54,0.0
2025-01-05,Google Ads,Google Ads - Lead Generation - No,Lead Generation,North America,Tablet,1575,45,0,83.54,0.0
2025-06-15,Instagram,Instagram - Retargeting - As,Retargeting,Asia Pacific,Mobile,777,10,0,9.13,0.0
2025-04-04,LinkedIn,LinkedIn - Retargeting - LA,Retargeting,LATAM,Mobile,1246,8,0,32.7,0.0
2025-11-01,Facebook,Facebook - Conversion - No,Conversion,North America,Desktop,2280,33,0,34.13,0.0
2025-05-17,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,782,4,0,18.62,0.0
2025-07-26,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Tablet,973,25,0,49.15,0.0
2025-09-10,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,397,5,0,2.28,0.0
2025-04-15,YouTube,YouTube - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,682,3,0,-0.1,0.0
2025-07-30,Facebook,Facebook - Conversion - Eu,Conversion,Europe,Mobile,2269,28,0,53.46,0.0
2025-02-25,Google Ads,Google Ads - Lead Generation - No,Lead Generation,North America,Mobile,2077,69,1,100.47,146.28
2025-02-27,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Mobile,1397,21,0,33.36,0.0
2025-01-20,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Desktop,1408,24,0,40.13,0.0
2025-04-18,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1656,26,0,58.69,0.0
2025-11-15,LinkedIn,LinkedIn - Conversion - As,Conversion,Asia Pacific,Tablet,1191,9,0,44.46,0.0
2025-07-02,Email,Email - Conversion - LA,Conversion,LATAM,Mobile,1077,30,0,-20.18,0.0
2025-03-24,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,2177,53,0,109.15,0.0
2025-05-01,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Desktop,1935,24,1,28.08,155.84
2025-09-29,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Mobile,1905,31,1,29.1,179.18
2025-08-08,Instagram,Instagram - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,534,7,0,9.19,0.0
2025-05-15,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Desktop,1097,12,0,16.69,0.0
2025-08-23,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Mobile,935,6,0,24.8,0.0
2025-09-29,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Mobile,1199,9,0,38.54,0.0
2025-12-23,LinkedIn,LinkedIn - Conversion - LA,Conversion,LATAM,Mobile,415,2,0,9.25,0.0
2025-12-05,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Tablet,1109,15,1,12.95,200.26
2025-09-09,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1838,27,0,40.03,0.0
2025-10-01,LinkedIn,LinkedIn - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,731,3,0,11.23,0.0
2025-04-09,Facebook,Facebook - Conversion - No,Conversion,North America,Desktop,2273,31,0,55.39,0.0
2025-04-16,LinkedIn,LinkedIn - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1217,9,0,44.93,0.0
2025-08-18,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Desktop,1213,14,0,5.15,0.0
2025-12-02,Email,Email - Conversion - No,Conversion,North America,Mobile,1436,59,1,36.8,151.17
2025-08-06,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Mobile,1242,23,0,40.25,0.0
2025-09-05,Facebook,Facebook - Conversion - As,Conversion,Asia Pacific,Desktop,2613,51,0,112.45,0.0
2025-11-06,LinkedIn,LinkedIn - Lead Generation - Eu,Lead Generation,Europe,Mobile,1059,10,0,40.18,0.0
2025-08-08,Instagram,Instagram - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,1052,12,0,19.65,0.0
2025-05-17,YouTube,YouTube - Lead Generation - Eu,Lead Generation,Europe,Tablet,1171,4,0,3.99,0.0
2025-07-01,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Mobile,1604,14,0,24.04,0.0
2025-10-02,YouTube,YouTube - Lead Generation - Eu,Lead Generation,Europe,Desktop,752,4,0,3.3,0.0
2025-04-04,YouTube,YouTube - Conversion - No,Conversion,North America,Desktop,-216,0,0,0.0,0.0
2026-01-04,Instagram,Instagram - Conversion - No,Conversion,North America,Desktop,758,10,0,7.96,0.0
2025-04-25,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Desktop,1903,59,1,87.71,136.26
2025-09-20,Facebook,Facebook - Conversion - Eu,Conversion,Europe,Desktop,2271,37,0,44.45,0.0
2025-04-01,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Mobile,1135,5,0,24.31,0.0
2025-09-08,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,2262,39,0,67.96,0.0
2025-10-27,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Mobile,960,10,0,10.84,0.0
2025-11-13,Instagram,Instagram - Lead Generation - No,Lead Generation,North America,Mobile,1161,14,0,13.77,0.0
2025-10-13,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Tablet,1195,15,0,8.92,0.0
2025-07-10,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Mobile,1705,37,0,74.36,0.0
2025-06-25,Google Ads,Google Ads - Conversion - Eu,Conversion,Europe,Desktop,2392,66,0,104.33,0.0
2025-02-04,Facebook,Facebook - Conversion - As,Conversion,Asia Pacific,Tablet,1084,24,0,39.75,0.0
2025-05-16,Email,Email - Conversion - No,Conversion,North America,Desktop,1364,34,0,-4.0,0.0
2025-02-28,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,2300,29,0,36.66,0.0
2025-01-15,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Mobile,2258,26,0,63.27,0.0
2025-01-29,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,913,20,0,29.92,0.0
2025-12-23,Instagram,Instagram - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,1195,19,0,24.34,0.0
2025-02-24,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2365,62,1,142.79,142.0
2025-06-29,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,2193,39,0,63.56,0.0
2025-06-29,Instagram,Instagram - Retargeting - No,Retargeting,North America,Desktop,962,8,0,11.39,0.0
2025-07-19,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Mobile,1958,55,2,134.47,451.9
2025-12-17,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,1730,23,1,15.93,106.63
2025-04-14,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Desktop,2217,31,1,34.16,126.02
2025-01-26,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Desktop,2019,30,0,46.16,0.0
2025-01-22,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Desktop,1133,8,0,0.77,0.0
2025-03-29,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Tablet,1891,31,0,47.16,0.0
2025-01-28,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,1043,8,0,36.18,0.0
2025-02-03,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Mobile,1691,41,1,72.58,139.91
2025-08-01,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,2346,27,0,39.55,0.0
2025-04-20,Instagram,Instagram - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,999,9,0,6.28,0.0
2025-01-28,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Mobile,2219,61,1,112.48,143.59
2025-11-02,YouTube,YouTube - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1101,5,0,1.99,0.0
2025-10-05,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,1759,40,0,90.64,0.0
2025-02-15,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Tablet,1495,32,0,50.66,0.0
2025-07-10,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Desktop,868,10,0,13.46,0.0
2025-05-22,Email,Email - Retargeting - As,Retargeting,Asia Pacific,Tablet,706,18,0,20.04,0.0
2025-04-28,Instagram,Instagram - Conversion - No,Conversion,North America,Desktop,750,9,0,14.52,0.0
2025-06-10,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Mobile,2100,42,1,43.44,141.17
2025-08-23,Facebook,Facebook - Brand Awareness - As,Brand Awareness,Asia Pacific,Tablet,1967,31,0,63.65,0.0
2025-07-16,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Tablet,2627,63,1,124.72,147.11
2025-07-30,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,2155,28,1,59.03,119.62
2025-01-20,YouTube,YouTube - Brand Awareness - LA,Brand Awareness,LATAM,Mobile,498,3,0,-1.44,0.0
2025-01-19,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,1549,26,0,31.19,0.0
2025-02-05,Instagram,Instagram - Retargeting - As,Retargeting,Asia Pacific,Mobile,855,10,0,11.77,0.0
2025-10-27,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Desktop,1117,13,0,13.86,0.0
2025-10-13,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Mobile,1784,25,0,58.32,0.0
2025-12-08,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,2539,44,0,85.85,0.0
2025-12-30,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Desktop,1691,26,1,20.29,209.93
2025-11-02,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Desktop,2707,83,1,150.08,176.94
2025-07-25,YouTube,YouTube - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,948,3,0,3.01,0.0
2025-10-29,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Desktop,2690,46,2,101.4,292.46
2025-11-02,Google Ads,Google Ads - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,2216,56,1,105.66,137.09
2025-01-26,Instagram,Instagram - Lead Generation - Eu,Lead Generation,Europe,Mobile,1602,18,0,26.74,0.0
2025-11-21,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,2903,68,1,87.18,171.72
2025-03-15,Instagram,Instagram - Brand Awareness - As,Brand Awareness,Asia Pacific,Mobile,1255,17,0,18.84,0.0
2025-09-03,LinkedIn,LinkedIn - Lead Generation - No,Lead Generation,North America,Tablet,1223,8,0,41.65,0.0
2025-12-29,YouTube,YouTube - Lead Generation - LA,Lead Generation,LATAM,Tablet,908,5,0,2.76,0.0
2025-02-28,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Desktop,3473,94,2,176.43,312.64
2025-05-03,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Desktop,1192,6,0,31.1,0.0
2025-05-12,YouTube,YouTube - Conversion - LA,Conversion,LATAM,Desktop,1150,4,0,2.64,0.0
2025-01-07,LinkedIn,LinkedIn - Retargeting - No,Retargeting,North America,Mobile,1271,11,0,44.17,0.0
2025-12-08,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,719,6,0,7.63,0.0
2025-04-29,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,1604,22,0,31.22,0.0
2025-08-24,Google Ads,Google Ads - Conversion - No,Conversion,North America,Mobile,1349,41,0,83.78,0.0
2025-08-19,Facebook,Facebook - Retargeting - No,Retargeting,North America,Mobile,2405,35,1,36.31,158.06
2025-03-31,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Tablet,2053,31,0,48.78,0.0
2025-02-09,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Mobile,2367,75,4,107.14,416.47
2025-09-02,Instagram,Instagram - Lead Generation - No,Lead Generation,North America,Tablet,497,5,0,8.47,0.0
2025-12-14,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,2122,30,0,32.88,0.0
2025-09-22,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Desktop,1193,23,0,53.8,0.0
2025-01-09,YouTube,YouTube - Lead Generation - No,Lead Generation,North America,Tablet,900,3,0,2.34,0.0
2025-12-13,YouTube,YouTube - Brand Awareness - No,Brand Awareness,North America,Desktop,963,5,0,2.51,0.0
2025-11-25,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,1440,37,0,71.37,0.0
2025-03-02,Instagram,Instagram - Conversion - As,Conversion,Asia Pacific,Mobile,1171,15,0,9.32,0.0
2025-05-11,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,2691,37,2,33.11,314.74
2025-07-13,YouTube,YouTube - Lead Generation - No,Lead Generation,North America,Desktop,929,4,0,6.08,0.0
2025-03-10,Google Ads,Google Ads - Conversion - No,Conversion,North America,Desktop,2451,62,1,161.28,99.6
2025-03-26,Facebook,Facebook - Lead Generation - Eu,Lead Generation,Europe,Desktop,3311,54,1,30.42,134.87
2025-02-15,Facebook,Facebook - Conversion - As,Conversion,Asia Pacific,Tablet,1700,29,0,46.11,0.0
2025-02-22,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,2112,58,1,69.12,206.67
2025-08-07,Instagram,Instagram - Conversion - LA,Conversion,LATAM,Tablet,420,3,0,3.57,0.0
2025-08-24,Email,Email - Lead Generation - Eu,Lead Generation,Europe,Mobile,1009,23,0,-9.91,0.0
2025-09-29,Facebook,Facebook - Retargeting - Eu,Retargeting,Europe,Mobile,1309,19,1,41.77,159.72
2025-11-15,Facebook,Facebook - Lead Generation - No,Lead Generation,North America,Mobile,987,13,0,15.25,0.0
2025-01-05,Facebook,Facebook - Retargeting - LA,Retargeting,LATAM,Desktop,1511,27,1,27.02,113.33
2025-05-31,LinkedIn,LinkedIn - Brand Awareness - No,Brand Awareness,North America,Mobile,979,6,0,30.8,0.0
2025-10-07,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Mobile,1982,55,3,93.04,350.9
2025-09-07,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Mobile,2679,72,4,147.54,465.4
2025-11-25,Google Ads,Google Ads - Lead Generation - LA,Lead Generation,LATAM,Tablet,1344,35,0,76.64,0.0
2025-10-11,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Mobile,1097,15,0,23.75,0.0
2025-04-14,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Mobile,1948,26,0,33.08,0.0
2025-07-31,Instagram,Instagram - Retargeting - No,Retargeting,North America,Mobile,1354,16,0,31.63,0.0
2025-10-13,Facebook,Facebook - Brand Awareness - No,Brand Awareness,North America,Desktop,2541,45,0,42.36,0.0
2025-04-29,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,2664,54,2,106.94,262.06
2025-04-01,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,2826,80,1,164.83,130.44
2025-07-29,Google Ads,Google Ads - Conversion - No,Conversion,North America,Mobile,2023,30,0,44.14,0.0
2025-06-07,Facebook,Facebook - Brand Awareness - LA,Brand Awareness,LATAM,Tablet,1466,25,0,28.68,0.0
2025-01-18,Google Ads,Google Ads - Retargeting - No,Retargeting,North America,Desktop,2187,64,2,66.84,265.95
2025-11-16,Google Ads,Google Ads - Conversion - LA,Conversion,LATAM,Desktop,3080,62,1,143.08,80.38
2025-04-11,YouTube,YouTube - Lead Generation - LA,Lead Generation,LATAM,Mobile,1266,7,0,4.64,0.0
2025-09-26,YouTube,YouTube - Conversion - LA,Conversion,LATAM,Mobile,1369,5,0,2.87,0.0
2025-08-22,Instagram,Instagram - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,850,9,0,9.13,0.0
2025-06-22,LinkedIn,LinkedIn - Lead Generation - Eu,Lead Generation,Europe,Mobile,1233,11,0,48.56,0.0
2025-11-20,YouTube,YouTube - Retargeting - LA,Retargeting,LATAM,Mobile,888,2,0,0.23,0.0
2025-06-20,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Mobile,2114,63,2,101.58,367.26
2025-12-07,Facebook,Facebook - Lead Generation - LA,Lead Generation,LATAM,Desktop,2589,36,0,70.41,0.0
2025-06-16,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Mobile,1650,48,0,70.23,0.0
2025-04-24,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,2019,31,1,52.04,132.07
2025-03-17,YouTube,YouTube - Conversion - As,Conversion,Asia Pacific,Mobile,875,5,0,0.75,0.0
2025-02-16,Facebook,Facebook - Retargeting - As,Retargeting,Asia Pacific,Mobile,1444,19,1,19.11,119.03
2025-03-26,Google Ads,Google Ads - Brand Awareness - No,Brand Awareness,North America,Desktop,2082,40,0,114.79,0.0
2025-04-04,Google Ads,Google Ads - Retargeting - Eu,Retargeting,Europe,Mobile,1597,31,1,68.72,143.32
2025-01-19,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Desktop,495,4,0,15.27,0.0
2025-05-29,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Mobile,1018,8,0,37.98,0.0
2025-11-08,Google Ads,Google Ads - Brand Awareness - LA,Brand Awareness,LATAM,Desktop,2401,76,1,166.92,94.72
2025-08-16,Google Ads,Google Ads - Retargeting - As,Retargeting,Asia Pacific,Desktop,1896,50,3,77.99,344.45
2025-06-19,Instagram,Instagram - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,1121,15,0,14.69,0.0
2025-09-07,YouTube,YouTube - Retargeting - As,Retargeting,Asia Pacific,Mobile,1421,7,0,1.14,0.0
2025-05-01,Google Ads,Google Ads - Conversion - No,Conversion,North America,Mobile,1672,34,0,42.49,0.0
2025-11-14,LinkedIn,LinkedIn - Retargeting - No,Retargeting,North America,Desktop,840,7,0,24.41,0.0
2025-04-28,Facebook,Facebook - Retargeting - No,Retargeting,North America,Desktop,2433,36,1,47.18,110.36
2025-08-16,LinkedIn,LinkedIn - Brand Awareness - Eu,Brand Awareness,Europe,Desktop,743,5,0,21.31,0.0
2025-02-17,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,450,3,0,11.09,0.0
2025-03-18,Email,Email - Conversion - LA,Conversion,LATAM,Desktop,1814,37,0,3.0,0.0
2025-04-21,Instagram,Instagram - Conversion - Eu,Conversion,Europe,Desktop,1110,11,0,9.58,0.0
2025-05-04,Email,Email - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,909,33,0,31.95,0.0
2025-01-31,YouTube,YouTube - Brand Awareness - No,Brand Awareness,North America,Mobile,1367,6,0,7.53,0.0
2025-05-27,Instagram,Instagram - Retargeting - LA,Retargeting,LATAM,Desktop,1092,14,0,15.42,0.0
2025-03-26,Google Ads,Google Ads - Lead Generation - Eu,Lead Generation,Europe,Mobile,2249,55,1,109.57,120.58
2025-01-07,YouTube,YouTube - Lead Generation - No,Lead Generation,North America,Desktop,1436,9,0,7.19,0.0
2025-03-21,Instagram,Instagram - Retargeting - Eu,Retargeting,Europe,Desktop,1290,17,0,25.38,0.0
2025-05-18,LinkedIn,LinkedIn - Conversion - No,Conversion,North America,Mobile,1200,9,0,36.16,0.0
2025-12-17,Instagram,Instagram - Brand Awareness - No,Brand Awareness,North America,Desktop,177,2,0,2.2,0.0
2025-03-01,LinkedIn,LinkedIn - Lead Generation - LA,Lead Generation,LATAM,Mobile,700,4,0,19.78,0.0
2025-05-08,LinkedIn,LinkedIn - Retargeting - As,Retargeting,Asia Pacific,Desktop,419,2,0,9.51,0.0
2025-04-16,Email,Email - Retargeting - No,Retargeting,North America,Mobile,856,28,1,-4.48,110.03
2025-09-18,Facebook,Facebook - Brand Awareness - Eu,Brand Awareness,Europe,Mobile,2378,45,1,76.73,118.54
2025-09-21,Facebook,Facebook - Lead Generation - As,Lead Generation,Asia Pacific,Mobile,1455,21,0,37.97,0.0
2025-06-16,YouTube,YouTube - Conversion - Eu,Conversion,Europe,Mobile,941,4,0,2.32,0.0
2025-09-21,Email,Email - Lead Generation - LA,Lead Generation,LATAM,Desktop,1382,45,0,16.28,0.0
2025-12-01,Google Ads,Google Ads - Retargeting - LA,Retargeting,LATAM,Desktop,1800,49,2,86.35,294.76
2025-02-14,Google Ads,Google Ads - Conversion - As,Conversion,Asia Pacific,Desktop,2207,54,1,114.3,153.64
2025-08-02,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Mobile,2188,25,0,13.88,0.0
2025-05-21,Facebook,Facebook - Brand Awareness - As,Brand Awareness,Asia Pacific,Desktop,3230,40,0,84.67,0.0
2025-08-24,Instagram,Instagram - Conversion - No,Conversion,North America,Mobile,1040,13,0,20.72,0.0
2025-03-12,LinkedIn,LinkedIn - Lead Generation - As,Lead Generation,Asia Pacific,Desktop,829,7,0,34.7,0.0
2025-12-05,Facebook,Facebook - Conversion - LA,Conversion,LATAM,Desktop,998,15,0,20.35,0.0
